,Agree,Disagree,Pass
0,72.6027397260274,26.027397260273972,1.36986301369863
1,95.8904109589041,4.10958904109589,0.0
2,82.1917808219178,16.43835616438356,1.36986301369863
3,64.38356164383562,35.61643835616438,0.0
4,87.67123287671232,10.95890410958904,1.36986301369863
5,35.61643835616438,60.273972602739725,4.10958904109589
6,57.534246575342465,39.726027397260275,2.73972602739726
7,78.08219178082192,19.17808219178082,2.73972602739726
8,60.273972602739725,38.35616438356164,1.36986301369863
9,21.91780821917808,78.08219178082192,0.0
10,84.93150684931507,13.698630136986301,1.36986301369863
11,60.273972602739725,36.986301369863014,2.73972602739726
12,34.24657534246575,63.013698630136986,2.73972602739726
13,61.64383561643836,36.986301369863014,1.36986301369863
14,58.9041095890411,38.35616438356164,2.73972602739726
15,43.83561643835616,52.054794520547944,4.10958904109589
